"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","1980",4.47950122103911,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","1981",-0.279283619223053,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","1982",0.594986944531149,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","1983",0.311842729140744,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","1984",2.46638265896649,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","1985",1.65179284282218,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","1986",1.82276212750622,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","1987",2.30665942919152,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","1988",4.72320890020805,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","1989",3.46916681332638,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","1990",3.13740245549254,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","1991",1.83307429747991,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","1992",1.53065481010339,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","1993",-0.961873090754317,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","1994",3.22697146873065,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","1995",2.38475722188092,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","1996",1.31705357298817,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","1997",3.79394169267107,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","1998",1.96267332850527,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","1999",3.54254771508442,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2000",3.724051995129,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2001",1.09272708519145,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2002",1.70629823908581,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2003",1.03799694324948,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2004",3.57026048358837,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2005",2.32669610281222,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2006",2.5531938344199,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2007",3.67237710379812,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2008",0.444989270497496,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2009",-2.01796325299495,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2010",2.86426788291183,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2011",1.69472,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2012",0.739090485720399,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2013",0.459292170292942,
